from,to,weight,time
HP,HG,3,
HG,HP,3,
HP,RW,3,
RW,HP,3,
HP,LV,3,
LV,HP,3,
HP,RH,2,
RH,HP,2,
HP,DM,2,
DM,HP,2,
HP,AB,2,
AB,HP,2,
HG,GW,1,
GW,HG,1,
HG,RW,3,
RW,HG,3,
HG,RH,2,
RH,HG,2,
HG,LV,1,
LV,HG,1,
HG,DM,1,
DM,HG,1,
HG,AB,2,
AB,HG,2,
RW,GW,3,
GW,RW,3,
RW,RH,2,
RH,RW,2,
RW,LV,1,
LV,RW,1,
RW,DM,1,
DM,RW,1,
RW,AB,2,
AB,RW,2,
GW,RH,1,
RH,GW,1,
GW,LV,1,
LV,GW,1,
GW,DM,1,
DM,GW,1,
GW,AB,1,
AB,GW,1,
RH,LV,1,
LV,RH,1,
RH,DM,1,
DM,RH,1,
RH,AB,1,
AB,RH,1,
LV,DM,3,
DM,LV,3,
LV,AB,2,
AB,LV,2,
DM,AB,1,
AB,DM,1,
